,Temperature,Humidity,Wind Speed,Cloudiness,Latitude,Longitude,Date,Country
418,41.0,86,5.82,95,45.6,-0.6,1575506815,FR
419,42.6,57,4.09,0,33.0,118.51,1575506815,CN
420,55.89,37,1.43,0,32.61,70.91,1575506815,PK
421,68.07,84,3.98,85,-17.91,19.77,1575506815,NA
422,42.8,70,9.17,1,40.03,-88.57,1575506815,US
423,32.0,90,2.24,0,50.14,4.75,1575506815,BE
424,66.99,88,5.82,1,28.61,-96.63,1575506815,US
425,73.24,29,8.95,80,13.47,14.72,1575506816,TD
426,33.8,100,11.18,90,55.97,37.87,1575506816,RU
427,77.05,93,2.57,100,-0.58,117.09,1575506816,ID
428,25.0,83,3.0,94,52.44,-109.15,1575506816,CA
429,47.79,94,3.87,98,-31.33,27.85,1575506817,ZA
430,82.76,72,10.04,60,-16.48,-151.75,1575506817,PF
431,41.0,65,6.71,78,30.93,113.57,1575506817,CN
432,80.01,85,23.0,100,5.67,73.0,1575506817,MV
433,12.38,95,6.06,100,59.43,62.35,1575506817,RU
434,67.39,72,9.93,100,-24.71,33.88,1575506817,MZ
435,73.4,64,8.05,71,-21.15,55.28,1575506818,RE
436,39.2,93,25.28,98,68.38,17.6,1575506818,NO
437,69.87,95,4.03,21,1.74,98.78,1575506818,ID
438,44.01,100,11.41,75,63.83,10.7,1575506818,NO
439,74.03,75,10.4,99,-15.18,35.3,1575506818,MW
440,65.41,27,11.7,0,31.21,16.59,1575506818,LY
441,76.95,76,7.38,83,5.35,48.53,1575506819,SO
442,75.2,73,3.36,75,3.17,-76.26,1575506819,CO
443,84.72,72,9.69,73,-8.15,159.59,1575506819,SB
444,79.68,87,21.39,100,6.88,73.1,1575506819,MV
445,57.63,72,6.38,0,-34.05,23.37,1575506819,ZA
446,73.4,31,13.87,0,-36.12,146.89,1575506819,AU
